Orthogroup	adv	ath	aza	azd	azi	Total
OG0000310	0	25	0	0	0	25
OG0000311	0	25	0	0	0	25
OG0000312	0	25	0	0	0	25
OG0000313	0	25	0	0	0	25
OG0000314	0	25	0	0	0	25
OG0000315	0	25	0	0	0	25
OG0000316	0	25	0	0	0	25
OG0000317	0	25	0	0	0	25
OG0000318	0	25	0	0	0	25
OG0000319	0	25	0	0	0	25
OG0000320	0	25	0	0	0	25
OG0000321	0	25	0	0	0	25
OG0000322	0	24	0	0	0	24
OG0000323	0	24	0	0	0	24
OG0000324	0	24	0	0	0	24
OG0000325	0	24	0	0	0	24
OG0000326	0	24	0	0	0	24
OG0000327	0	24	0	0	0	24
OG0000328	0	24	0	0	0	24
OG0000329	0	24	0	0	0	24
OG0000330	0	24	0	0	0	24
OG0000331	0	24	0	0	0	24
OG0000332	0	24	0	0	0	24
OG0000333	0	24	0	0	0	24
OG0000334	0	24	0	0	0	24
OG0000335	0	24	0	0	0	24
OG0000336	0	24	0	0	0	24
OG0000337	0	24	0	0	0	24
OG0000338	0	24	0	0	0	24
OG0000339	0	24	0	0	0	24
OG0000340	0	0	23	0	1	24
OG0000341	2	17	2	1	1	23
OG0000342	7	4	4	5	3	23
OG0000343	3	11	3	3	3	23
OG0000344	3	11	1	5	3	23
OG0000345	2	17	2	1	1	23
OG0000346	0	23	0	0	0	23
OG0000347	0	22	1	0	0	23
OG0000348	0	23	0	0	0	23
OG0000349	0	23	0	0	0	23
OG0000350	0	23	0	0	0	23
OG0000351	0	23	0	0	0	23
OG0000352	0	23	0	0	0	23
OG0000353	0	23	0	0	0	23
OG0000354	0	23	0	0	0	23
OG0000355	0	23	0	0	0	23
OG0000356	0	23	0	0	0	23
OG0000357	0	23	0	0	0	23
OG0000358	0	23	0	0	0	23
OG0000359	0	23	0	0	0	23
OG0000360	0	23	0	0	0	23
OG0000361	0	23	0	0	0	23
OG0000362	0	23	0	0	0	23
OG0000363	0	23	0	0	0	23
OG0000364	0	23	0	0	0	23
OG0000365	0	23	0	0	0	23
OG0000366	0	23	0	0	0	23
OG0000367	0	23	0	0	0	23
OG0000368	0	23	0	0	0	23
OG0000369	0	23	0	0	0	23
OG0000370	0	23	0	0	0	23
OG0000371	0	23	0	0	0	23
OG0000372	0	22	0	0	0	22
OG0000373	0	21	0	0	1	22
OG0000374	0	22	0	0	0	22
OG0000375	0	22	0	0	0	22
OG0000376	0	22	0	0	0	22
OG0000377	0	22	0	0	0	22
OG0000378	0	22	0	0	0	22
OG0000379	0	22	0	0	0	22
OG0000380	0	22	0	0	0	22
OG0000381	0	22	0	0	0	22
OG0000382	0	22	0	0	0	22
OG0000383	0	22	0	0	0	22
OG0000384	0	22	0	0	0	22
OG0000385	0	22	0	0	0	22
OG0000386	0	22	0	0	0	22
OG0000387	0	22	0	0	0	22
OG0000388	0	22	0	0	0	22
OG0000389	0	22	0	0	0	22
OG0000390	0	22	0	0	0	22
OG0000391	0	22	0	0	0	22
OG0000392	0	22	0	0	0	22
OG0000393	0	21	0	0	1	22
OG0000394	0	22	0	0	0	22
OG0000395	0	22	0	0	0	22
OG0000396	0	22	0	0	0	22
OG0000397	0	22	0	0	0	22
OG0000398	0	22	0	0	0	22
